                                                  

        SCF,CCSD
   -108.7876063,   -109.5602251
   -108.7887281,   -109.5240896
   -108.7227035,   -109.5017827
   -108.7734673,   -109.5582339
   -108.6129695,   -109.3349304
   -108.5763399,   -109.3355519
   -108.1896186,   -108.8822639
   -107.9949419,   -108.6907841
   -107.4697978,   -108.1452276
   -105.8974113,   -106.4871055
   -103.5223034,   -104.0414672
   -100.2146779,   -100.7217634
                                                  
