                                                  

        SCF,CCSD
   -108.22373438,   -109.0059306
   -108.23247648,   -108.9763278
   -108.14993967,   -108.9417740
   -108.21689939,   -109.0080107
   -108.05057728,   -108.7824241
   -108.00169968,   -108.7729923
   -107.63068274,   -108.3332473
   -107.42687095,   -108.1346203
   -106.89960357,   -107.5865966
   -105.35117440,   -105.9514092
   -103.01683025,   -103.5443962
    -99.76887738,   -100.2761447
                                                  
