                                                  

        SCF,CCSD
   -108.18765580,   -108.9685401
   -108.19806616,   -108.9407726
   -108.11266615,   -108.9036499
   -108.18256811,   -108.9719446
   -108.01525261,   -108.7460194
   -107.96376286,   -108.7338887
   -107.59752579,   -108.2992430
   -107.39327038,   -108.1001566
   -106.86594160,   -107.5520885
   -105.31413903,   -105.9137400
   -102.97589640,   -103.5030377
    -99.72357624,   -100.2307458
                                                  
