                                                  

        SCF,CCSD
   -108.22519332,   -109.0074428
   -108.23386800,   -108.9777658
   -108.15144666,   -108.9433157
   -108.21828794,   -109.0094697
   -108.05200552,   -108.7838961
   -108.00323343,   -108.7745734
   -107.63202299,   -108.3346220
   -107.42822891,   -108.1360134
   -106.90096398,   -107.5879914
   -105.35267057,   -105.9529312
   -103.01848335,   -103.5460667
    -99.77070612,   -100.2779781
                                                  
