                                                  

        SCF,CCSD
   -108.22494828,   -109.0071888
   -108.23363429,   -108.9775243
   -108.15119354,   -108.9430568
   -108.21805474,   -109.0092247
   -108.05176564,   -108.7836489
   -108.00297582,   -108.7743078
   -107.63179791,   -108.3343911
   -107.42800086,   -108.1357794
   -106.90073551,   -107.5877571
   -105.35241928,   -105.9526755
   -103.01820565,   -103.5457861
    -99.77039892,   -100.2776700
                                                  
