                                                  

                                                  

        SCF,CCSD
   -108.29732760,   -109.0722102
   -108.29782917,   -109.0349065
   -108.23635286,   -109.0180925
   -108.28253091,   -109.0698938
   -108.12353072,   -108.8474397
   -108.08795181,   -108.8496126
   -107.70164172,   -108.3964024
   -107.51339010,   -108.2121074
   -106.98568057,   -107.6637999
   -105.41528360,   -106.0097780
   -103.06229479,   -103.5866715
    -99.80265848,   -100.3092978
                                                  
