                                                  

        SCF,CCSD
   -108.28469881,   -109.0717481
   -108.28371592,   -109.0322718
   -108.22453876,   -109.0196761
   -108.26879173,   -109.0684184
   -108.11005753,   -108.8461280
   -108.07489730,   -108.8497922
   -107.68806933,   -108.3952710
   -107.50037990,   -108.2129880
   -106.97024347,   -107.6624185
   -105.41262492,   -106.0194116
   -103.07754968,   -103.6112097
    -99.84205910,   -100.3513549
                                                  
