                                                  

        SCF,CCSD
   -108.27200283,   -109.1446495
   -108.27065635,   -109.1004433
   -108.21461818,   -109.1011691
   -108.25510109,   -109.1389388
   -108.09870428,   -108.9194241
   -108.05985290,   -108.9259285
   -107.67706179,   -108.4691604
   -107.49316272,   -108.2974187
   -106.95372184,   -107.7378431
   -105.34794876,   -106.0460818
   -103.00199026,   -103.6195773
    -99.81029983,   -100.3854606
                                                  
