r AE UC ECP17
1.30 -11270.9013783455 -11268.3378189255 -109.269652668538
1.40 -11270.9567519290 -11268.3930436541 -109.324558628857
1.50 -11270.9964149184 -11268.4327002792 -109.363927765370
1.60 -11271.0243972255 -11268.4608036592 -109.391768177395
1.70 -11271.0434134035 -11268.4801451770 -109.410878473590
1.80 -11271.0553288030 -11268.4928143782 -109.423361317109
1.90 -11271.0610522129 -11268.5004064940 -109.430839162152
2.00 -11271.0597962633 -11268.5041375373 -109.434557670411
2.10 -11271.0446909452 -11268.5049242274 -109.435476990299
2.20 -11271.0655565480 -11268.5033996397 -109.434333503635
2.30 -11271.0666869572 -11268.4999403384 -109.431679647433
2.40 -11271.0640007276 -11268.4945282238 -109.427966118218
2.50 -11271.0599445677 -11268.4865470750 -109.423531413571
