r AE UC ECP17
1.30 -11270.9077001179 -11268.3433174645 -109.273600772833
1.40 -11270.9627118978 -11268.3982312258 -109.328334285896
1.50 -11271.0026656382 -11268.4378330738 -109.367730243841
1.60 -11271.0315638501 -11268.4660491198 -109.395709114703
1.70 -11271.0524307587 -11268.4856482302 -109.415006996855
1.80 -11271.0680577737 -11268.4987358012 -109.427700500041
1.90 -11271.0814764683 -11268.5069625515 -109.435399290362
2.00 -11271.0968645031 -11268.5116337265 -109.439365113038
2.10 -11271.1485614952 -11268.5138618186 -109.440575728449
2.20 -11271.1031116558 -11268.5146047089 -109.439767957907
2.30 -11271.0871851839 -11268.5148712980 -109.437525487197
2.40 -11271.0777958263 -11268.5159194631 -109.434331763608
2.50 -11271.0704701787 -11268.5194426931 -109.430593818981
