r AE UC ECP17
1.30 -11270.9014950597 -11268.3387061380 -109.270293272780
1.40 -11270.9569356120 -11268.3939422672 -109.325214440911
1.50 -11270.9966121022 -11268.4336189137 -109.364608979143
1.60 -11271.0245805366 -11268.4617472271 -109.392478422469
1.70 -11271.0436169023 -11268.4811221278 -109.411616056444
1.80 -11271.0558000663 -11268.4938409751 -109.424124679345
1.90 -11271.0628152786 -11268.5015124286 -109.431625909300
2.00 -11271.0665033397 -11268.5053798128 -109.435368254618
2.10 -11271.0832657284 -11268.5064108563 -109.436316302175
2.20 -11271.0719378755 -11268.5053545182 -109.435206574729
2.30 -11271.0682201370 -11268.5028506664 -109.432597450842
2.40 -11271.0644682278 -11268.4995251011 -109.428949590660
2.50 -11271.0601506405 -11268.4962233367 -109.424610242400
