r,ae,UC,ECP18,ECP19,ECP20,ECP17,ECP21,ECP18P
1.4,-0.05095981,-0.05068611,-0.05133003,-0.05064968,-0.05235147,-0.051327599999999994,-0.05229196,-0.05140065
1.5,-0.1593333,-0.15905571,-0.15909407,-0.15863213,-0.15976641,-0.15909,-0.15972742,-0.15915371
1.6,-0.22220258,-0.22197741,-0.22185458,-0.22155987,-0.22226375,-0.221833,-0.22224742,-0.22190819
1.7,-0.25370329,-0.25358005,-0.2533822,-0.25320944,-0.25359746,-0.253338,-0.25360452,-0.25343259
1.8,-0.26353243,-0.26353558,-0.2632528,-0.26316732,-0.26332665,-0.26318400000000003,-0.26335595,-0.26330135
1.9,-0.2588345,-0.25896114,-0.25858034,-0.25855688,-0.258552,-0.25849,-0.25860078,-0.25862751
2.0,-0.24490081,-0.24513998,-0.24466288,-0.24468313,-0.24456181,-0.24455500000000002,-0.24462646,-0.2447087
2.1,-0.22556178,-0.22589734,-0.22533636,-0.22538689,-0.22518498,-0.225215,-0.22526167,-0.22538064
2.2,-0.20351426,-0.20393087,-0.20330173,-0.20337257,-0.20311722,-0.203172,-0.20320228,-0.20334418
2.3,-0.18061275,-0.18109697,-0.18041382,-0.18049801,-0.18020869,-0.180279,-0.18029893,-0.1804541
2.4,-0.15809264,-0.15863206,-0.15789631,-0.15799117,-0.15767653,-0.15775899999999998,-0.15776997,-0.15793412
2.5,-0.13665326,-0.13721461,-0.1362808,-0.13640371,-0.13601792,-0.136129,-0.13612167,-0.13631836
