                                                  

       SCF,CCSD
   -39.94823190,   -40.32208276
   -39.93574387,   -40.29856718
   -39.88371655,   -40.23272626
   -39.78831872,   -40.13196724
   -39.74522327,   -40.07115671
   -39.31922402,   -39.61866000
   -39.13184383,   -39.42040147
   -39.28571344,   -39.58648695
   -38.86011087,   -39.13782523
   -38.57547900,   -38.84710654
   -36.30044742,   -36.53514603
   -33.48078698,   -33.66891572
   -30.09305305,   -30.22442223
                                                  
