                                                  

       SCF,CCSD
   -39.94327206,   -40.31728303
   -39.93038767,   -40.29338411
   -39.87894608,   -40.22812847
   -39.78301493,   -40.12683602
   -39.74027818,   -40.06637944
   -39.31386544,   -39.61346634
   -39.12634131,   -39.41505657
   -39.28077810,   -39.58170650
   -38.85467881,   -39.13255106
   -38.57004337,   -38.84181991
   -36.29555722,   -36.53037561
   -33.47656663,   -33.66478152
   -30.08963339,   -30.22105165
                                                  
