                                                  

       SCF,CCSD
   -39.94518397,   -40.31910530
   -39.93239338,   -40.29532963
   -39.88093351,   -40.23003296
   -39.78492286,   -40.12866688
   -39.74228789,   -40.06830833
   -39.31595366,   -39.61547470
   -39.12876966,   -39.41742250
   -39.28298248,   -39.58385098
   -38.85702996,   -39.13483674
   -38.57239766,   -38.84411673
   -36.29723658,   -36.53203230
   -33.47744062,   -33.66566434
   -30.08956603,   -30.22102134
                                                  
