                                                  

       SCF,CCSD
   -40.16109776,   -40.53319478
   -40.14926481,   -40.50796414
   -40.09833537,   -40.44628326
   -40.00085357,   -40.33989523
   -39.95686741,   -40.28063650
   -39.53095847,   -39.82562038
   -39.34514755,   -39.62926824
   -39.49420638,   -39.79339906
   -39.07303118,   -39.34748443
   -38.78665902,   -39.05397428
   -36.51676676,   -36.74649636
   -33.69812106,   -33.88032009
   -30.30646976,   -30.43053308
                                                  
