                                                  

       SCF,CCSD
   -39.63389773,   -40.06565056
   -39.57753189,   -39.98845178
   -39.58226464,   -39.99930636
   -39.46195886,   -39.85838808
   -39.43952734,   -39.83109624
   -39.42694064,   -39.81535860
   -38.95717068,   -39.30414556
   -38.73980072,   -39.07603618
   -38.95984314,   -39.32366951
   -38.53819481,   -38.79163682
   -38.19545016,   -38.51305331
   -35.97505844,   -36.25615272
   -33.22974600,   -33.45388700
   -29.93902540,   -30.08318928
   -15.81535670,   -15.86051485
                                                  
