                                                  

       SCF,CCSD
   -39.63810146,   -39.99412477
   -39.62674329,   -39.97136158
   -39.57695044,   -39.90783810
   -39.47940500,   -39.80447812
   -39.43715013,   -39.74521127
   -39.01697047,   -39.29845494
   -38.83510996,   -39.10612711
   -38.98246130,   -39.26634385
   -38.56970364,   -38.83099857
   -38.28459498,   -38.53950534
   -36.00476498,   -36.22433378
   -33.18938969,   -33.36429819
   -29.81738133,   -29.93791374
                                                  
