                                                  

       SCF,CCSD
   -39.51386803,   -39.86972714
   -39.50315937,   -39.84757025
   -39.45239299,   -39.78307729
   -39.35609533,   -39.68102672
   -39.31288117,   -39.62076922
   -38.89400598,   -39.17536754
   -38.71201909,   -38.98288702
   -38.85826776,   -39.14189445
   -38.44733326,   -38.70847797
   -38.16221647,   -38.41692446
   -35.89202391,   -36.11140364
   -33.08773171,   -33.26249336
   -29.72818778,   -29.84863641
                                                  
