                                                  

       SCF,CCSD
   -39.46522587,   -39.82102743
   -39.45473123,   -39.79906403
   -39.40365128,   -39.73425794
   -39.30777507,   -39.63265272
   -39.26423123,   -39.57205291
   -38.84582364,   -39.12713754
   -38.66378869,   -38.93459842
   -38.80965683,   -39.09318449
   -38.39938834,   -38.66047523
   -38.11426753,   -38.36889621
   -35.84780247,   -36.06710827
   -33.04781027,   -33.22251453
   -29.69311536,   -29.81353135
                                                  
