                                                  

       SCF,CCSD
   -39.47242372,   -39.82850960
   -39.46007682,   -39.80481964
   -39.41206181,   -39.74310398
   -39.31316328,   -39.63839008
   -39.27170120,   -39.57991785
   -38.85129013,   -39.13291755
   -38.66923155,   -38.94035871
   -38.81753142,   -39.10147255
   -38.40506184,   -38.66651327
   -38.11987881,   -38.37482479
   -35.85201099,   -36.07156879
   -33.05088439,   -33.22573494
   -29.69542209,   -29.81584763
                                                  
