                                                  

       SCF,CCSD
   -39.72752760,   -40.08337604
   -39.71753696,   -40.06191859
   -39.66540652,   -39.99602957
   -39.56994095,   -39.89478743
   -39.52633070,   -39.83414438
   -39.10716470,   -39.38844416
   -38.92543524,   -39.19626594
   -39.07118006,   -39.35486269
   -38.65923975,   -38.92030309
   -38.37419834,   -38.62896359
   -36.08833044,   -36.30780667
   -33.26551767,   -33.44040341
   -29.88462203,   -30.00521547
                                                  
