                                                  

        SCF,CCSD
   -912.6361509,   -913.0338500
   -943.6354054,   -944.3620167
   -944.4582926,   -944.8163467
   -943.5146255,   -944.2361826
   -943.5151769,   -944.2462963
   -912.3036441,   -912.6661838
   -876.8831654,   -877.2487427
   -876.3394574,   -876.7009263
   -911.5567045,   -911.9183504
   -875.7258369,   -876.0870692
   -875.4444344,   -875.8056635
   -791.2940918,   -791.5996104
   -702.7458770,   -702.9915208
   -609.7689834,   -609.9502453
   -407.0802935,   -407.1985387
   -298.9399616,   -299.0254032
   -876.8928298,   -877.2631760
                                                  
