                                                  

       SCF,CCSD
   -39.48540742,   -39.83658120
   -39.47314709,   -39.81506781
   -39.42439539,   -39.74943952
   -39.34805151,   -39.67424968
   -39.32560170,   -39.64821547
   -39.28480389,   -39.58768625
   -38.86277077,   -39.14148851
   -38.68121771,   -38.94926063
   -38.83070825,   -39.10856205
   -38.31073199,   -38.56548474
   -38.12929768,   -38.38087117
   -35.87032683,   -36.08646120
   -33.07442602,   -33.24754156
   -29.71914402,   -29.84135830
   -20.72678635,   -20.80464835
   -15.28851832,   -15.34044432
   -39.03713636,   -39.32169830
                                                  
