                                                  

       SCF,CCSD
   0,   -39.75464031
   -39.47309191,   -39.79062349
   -39.31482469,   -39.61550214
   -39.32556004,   -39.62520837
   -39.20347942,   -39.48393775
   -38.86273088,   -39.12039454
   -38.68116178,   -38.92843251
   -38.72906393,   -38.98567636
   -38.41355249,   -38.65086644
   -38.12925990,   -38.36115922
   -35.87028781,   -36.07070484
   -33.07438537,   -33.23552813
   -29.71910166,   -29.83262405
                                                  
