                                                  

       SCF,CCSD
   -39.48535101,   -39.84646551
   -39.47309191,   -39.82365883
   -39.42431576,   -39.76012297
   -39.32556004,   -39.65672767
   -39.28474501,   -39.59787079
   -38.86273088,   -39.14997494
   -38.68116178,   -38.95782274
   -38.83064306,   -39.11900224
   -38.41387699,   -38.68010474
   -38.12925990,   -38.38931186
   -35.87028781,   -36.09462739
   -33.07438537,   -33.25394797
   -29.71910166,   -29.84439818
                                                  
