                                                  

       SCF,CCSD
   -39.48535101,   -39.83990112
   -39.47309191,   -39.81766202
   -39.42431576,   -39.75321056
   -39.32556004,   -39.65079333
   -39.28474501,   -39.59119643
   -38.86273088,   -39.14410272
   -38.68116178,   -38.95191329
   -38.83064306,   -39.11224044
   -38.41355307,   -38.67379947
   -38.12925990,   -38.38351823
   -35.87028781,   -36.08922112
   -33.07438537,   -33.24970840
   -29.71910166,   -29.84225969
                                                  
