                                                  

       SCF,CCSD
   -39.48533295,   -39.83978742
   -39.47356672,   -39.81798215
   -39.42400773,   -39.75277443
   -39.32601196,   -39.65110490
   -39.28465375,   -39.59097255
   -38.86314513,   -39.14437568
   -38.68160038,   -38.95220594
   -38.83042033,   -39.11187275
   -38.41388026,   -38.67396625
   -38.12959024,   -38.38369267
   -35.87097743,   -36.08975336
   -33.07528922,   -33.25048139
   -29.71999555,   -29.84308102
                                                  
