                                                  

       SCF,CCSD
   -39.68827573,   -40.04313588
   -39.68261669,   -40.02666358
   -39.62152345,   -39.95031476
   -39.53529229,   -39.86030681
   -39.48534282,   -39.79166920
   -39.06942961,   -39.35066257
   -38.88482110,   -39.15526879
   -39.02687880,   -39.30817219
   -38.61530206,   -38.87510364
   -38.33110443,   -38.58504398
   -36.06760090,   -36.28599727
   -33.26400576,   -33.43877805
   -29.89728160,   -30.02006024
                                                  
