r,ae,mwbstu,ECP612,ECP607,mwb_reg,mwb_or,mwb_nof,mwb_reg8,mwb_reg6
1.1,0.1730589,0.184968,0.17468279,0.1571621,0.17963909,0.17938398,0.17746019,0.17980203,0.18037623
1.2,0.07203542,0.083438,0.07634685,0.06306784,0.07977268,0.07964154,0.07840386,0.07940882,0.07972908
1.3,0.00188788,0.011935,0.00708492,-0.00281921,0.00946582,0.00943138,0.00865616,0.00862317,0.00875838
1.4,-0.04659328,-0.0381,-0.04140714,-0.04860163,-0.03972722,-0.03968722,-0.04014295,-0.04095987,-0.04096129
1.5,-0.07946088,-0.07244600000000001,-0.07469259,-0.07972205,-0.07348523,-0.07338795,-0.07361763,-0.07502269,-0.07512791
1.6,-0.10093185,-0.095217,-0.09672693,-0.10004293,-0.09584488,-0.09570323,-0.09576958,-0.09761999,-0.09780714
1.7,-0.11401729,-0.10941300000000001,-0.11040149,-0.11237651,-0.10975033,-0.10957392,-0.1095199,-0.11171542,-0.11197004
1.8,-0.12093036,-0.11726400000000001,-0.11787491,-0.11881223,-0.11739308,-0.11718904,-0.11704463,-0.11951631,-0.11982874
1.9,-0.12333429,-0.120452,-0.12078247,-0.12092574,-0.12042888,-0.12020253,-0.11998901,-0.12268932,-0.12305286
2.0,-0.1224851,-0.12024800000000001,-0.12036608,-0.11990847,-0.12011285,-0.11986824,-0.11960099,-0.12249653,-0.12290629
2.1,-0.11932166,-0.11761600000000001,-0.1175683,-0.11666208,-0.11739633,-0.11713657,-0.11682633,-0.1198934,-0.12034551
2.2,-0.11455181,-0.113282,-0.11310453,-0.11187264,-0.11300047,-0.11272802,-0.1123823,-0.11560139,-0.11609265
2.3,-0.10870876,-0.107804,-0.10751401,-0.10604947,-0.10746772,-0.10718455,-0.10681412,-0.11017106,-0.11069843
2.4,-0.10219363,-0.10158500000000001,-0.10120659,-0.09958448,-0.1012132,-0.10092103,-0.10052544,-0.10400682,-0.10456755
2.5,-0.09530354,-0.094937,-0.09448595,-0.09275727,-0.09453176,-0.09423194,-0.09382485,-0.09741399,-0.09800531
2.6,-0.08825615,-0.08808400000000001,-0.08756901,-0.08577598,-0.08765801,-0.08735194,-0.08692672,-0.09061416,-0.09123337
