r,ae,mwbstu,mwb_reg,ECP612,ECP612S,mwb_or,mwb_nof,mwb_reg6,mwb_reg8,ECP612LL
1.3,0.13470738,0.13334532,0.10315909,0.07416777,0.08156925,0.10248997,0.09380924,0.10925505,0.10714248,0.07897748
1.4,-0.0444702,-0.04103532,-0.05993754,-0.07809141,-0.07314851,-0.06037634,-0.06556154,-0.0554476,-0.05694446,-0.07487688
1.5,-0.15414492,-0.14846561,-0.16012847,-0.17164995,-0.16837848,-0.16041336,-0.16352581,-0.15670449,-0.15781032,-0.16952135
1.6,-0.21581027,-0.2095747,-0.21672343,-0.22422972,-0.22210905,-0.21690409,-0.2187768,-0.21398748,-0.21483704,-0.22284927
1.7,-0.24480237,-0.23901813,-0.24338388,-0.24843756,-0.24711903,-0.24349098,-0.24460648,-0.24112877,-0.24179727,-0.24757873
1.8,-0.25217566,-0.24734768,-0.24999732,-0.25351927,-0.25276518,-0.25004976,-0.25069477,-0.24813343,-0.24866112,-0.25302756
1.9,-0.24577639,-0.24208579,-0.24366829,-0.24620194,-0.24584822,-0.2436777,-0.24401826,-0.24218003,-0.24258562,-0.24597076
2.0,-0.23110476,-0.22854526,-0.22945382,-0.23132284,-0.23125566,-0.22942675,-0.22956336,-0.22837635,-0.22866623,-0.23127832
2.1,-0.21202637,-0.21050739,-0.21097211,-0.21237767,-0.21251975,-0.21091784,-0.21090972,-0.21042211,-0.21057128,-0.21246977
2.2,-0.19133576,-0.19071457,-0.19089171,-0.19193175,-0.19223471,-0.19079608,-0.19066937,-0.19105639,-0.19103894,-0.19212939
