                                                  

       SCF,CCSD
   -56.18147084,   -56.60513929
   -56.12379870,   -56.55392599
   -56.16081203,   -56.63524673
   -55.96167219,   -56.35586014
   -55.95684189,   -56.34740194
   -55.47879150,   -55.83935778
   -54.58638978,   -54.91858824
   -53.23486544,   -53.54165324
   -52.65214459,   -52.95440691
   -52.24711032,   -52.56359255
   -51.42010456,   -51.69550935
   -47.68489963,   -47.92642748
   -43.34437863,   -43.54093446
   -38.37963758,   -38.52000448
   -32.49754990,   -32.61588283
   -25.94251773,   -26.03463381
   -18.69722295,   -18.75983691
                                                  
