                                                  

       SCF,CCSD
   -55.71609821,   -56.16927899
   -55.66139682,   -56.12267422
   -55.69546455,   -56.19853879
   -55.49723646,   -55.92108141
   -55.48910167,   -55.90698182
   -55.01149957,   -55.39885927
   -54.11630267,   -54.47141262
   -52.76269606,   -53.08777948
   -52.17850241,   -52.49573844
   -51.77454827,   -52.11021435
   -50.94690206,   -51.23586126
   -47.26316368,   -47.51466244
   -42.97678785,   -43.18011061
   -38.06785243,   -38.21214075
   -32.24443808,   -32.36557907
   -25.74681335,   -25.84076636
   -18.55627323,   -18.61988760
                                                  
