                                                  

       SCF,CCSD
   -56.14268022,   -56.56698653
   -56.08436787,   -56.51518673
   -56.12207210,   -56.59722967
   -55.92295309,   -56.31777764
   -55.91886893,   -56.31002601
   -55.44124122,   -55.80246964
   -54.55017565,   -54.88313518
   -53.19976443,   -53.50747206
   -52.61623587,   -52.91934064
   -52.21317810,   -52.53098863
   -51.38552580,   -51.66195733
   -47.65053730,   -47.89349713
   -43.31090717,   -43.50896371
   -38.34826046,   -38.48978347
   -32.46644357,   -32.58604169
   -25.91396702,   -26.00722297
   -18.67459084,   -18.73799870
                                                  
