                                                  

       SCF,CCSD
   -56.32376040,   -56.76890551
   -56.26485071,   -56.71856967
   -56.30305906,   -56.79940569
   -56.10305771,   -56.51930186
   -56.09984982,   -56.50954528
   -55.62104713,   -56.00106879
   -54.72994729,   -55.07802275
   -53.38015605,   -53.69843422
   -52.79813523,   -53.10715869
   -52.39482473,   -52.72037180
   -51.56771352,   -51.85011702
   -47.81401742,   -48.06040956
   -43.45513899,   -43.65447324
   -38.47314418,   -38.61418712
   -32.57140578,   -32.69018797
   -26.00009777,   -26.09248102
   -18.74352998,   -18.80626070
                                                  
