r,ae,UC,crenbl,lanl2,mdfstu,mwbstu,ECP1
1.1,0.17930271,0.18027425,0.17968341,0.17861381,0.18183337,0.18055568,0.1804381
1.2,0.08354037,0.08447586,0.08420531,0.08315338,0.08583961,0.08483203,0.08468779
1.3,0.01916465,0.01994996,0.01988402,0.01903418,0.02110799,0.02030641,0.02013047
1.4,-0.02344282,-0.02288978,-0.02281826,-0.02343272,-0.02190767,-0.02253784,-0.02274429
1.5,-0.05073415,-0.05040996,-0.05023732,-0.05065049,-0.04956352,-0.05004449,-0.05027955
1.6,-0.06718791,-0.06703379,-0.0667831,-0.06704716,-0.06629034,-0.06663912,-0.06690105
1.7,-0.07594322,-0.07590829,-0.07559672,-0.07576074,-0.07524311,-0.07547406,-0.07576081
1.8,-0.07925354,-0.07930464,-0.0789461,-0.07904794,-0.07869824,-0.0788281,-0.07913717
1.9,-0.07877966,-0.07887994,-0.07848976,-0.07855623,-0.0783207,-0.0783614,-0.07869063
2.0,-0.07572696,-0.07584517,-0.07543209,-0.0754818,-0.07532148,-0.0752876,-0.07563189
2.1,-0.07094834,-0.07108002,-0.07065249,-0.07069857,-0.0705861,-0.0704897,-0.07084529
2.2,-0.0650684,-0.06522663,-0.06478981,-0.06484061,-0.06475525,-0.06460566,-0.06497043
2.3,-0.05855851,-0.05875259,-0.05831042,-0.05836829,-0.05830235,-0.05811076,-0.05847977
