r,ae,UC,crenbl,lanl2,mdfstu,mwbstu,ECP1
1.1,0.76887736,0.77529778,0.76257066,0.77518646,0.76952212,0.76099604,0.75899991
1.2,0.38087042,0.38629973,0.3792287,0.38714772,0.3842533,0.37808355,0.37637702
1.3,0.14152062,0.14622684,0.14215657,0.14792221,0.14537481,0.14084733,0.13922748
1.4,-0.00660724,-0.00264317,-0.00495744,-0.00024815,-0.00304378,-0.00637501,-0.00786584
1.5,-0.0949487,-0.09174949,-0.09293752,-0.08891841,-0.09186997,-0.09429095,-0.09561896
1.6,-0.14283844,-0.14038984,-0.14081145,-0.13737761,-0.14027483,-0.1419911,-0.14316324
1.7,-0.16353041,-0.16175325,-0.16164068,-0.15874273,-0.16144144,-0.16261032,-0.16365039
1.8,-0.16643601,-0.16519334,-0.16470395,-0.1622771,-0.16472578,-0.16547321,-0.16640639
1.9,-0.15816996,-0.15730863,-0.15655604,-0.15451552,-0.1567277,-0.1571562,-0.15800229
2.0,-0.14330101,-0.14268816,-0.14176313,-0.1400109,-0.14204045,-0.14223105,-0.14300573
2.1,-0.12492532,-0.12446917,-0.12343663,-0.12188036,-0.12379446,-0.12382794,-0.12453425
2.2,-0.10504181,-0.10466586,-0.10359717,-0.10211658,-0.10402853,-0.10395832,-0.10460188
2.3,-0.08468998,-0.08432044,-0.08330527,-0.08179302,-0.08381151,-0.08368696,-0.08427779
2.4,-0.06530105,-0.06488606,,-0.06235815,-0.0645882,-0.0644928,-0.06493629
2.5,-0.04967237,,,,-0.04912954,-0.04910947,-0.0494075
2.6,-0.03700083,,,-0.03374897,,-0.021774,-0.02208721
