                                                  

       SCF,CCSD
   -78.18819003,   -78.67385466
   -78.11879651,   -78.60374495
   -78.10372864,   -78.65823210
   -77.97418779,   -78.38943061
   -77.76168379,   -78.16354663
   -77.39250234,   -77.77020062
   -76.38757724,   -76.73796734
   -74.95254659,   -75.27313213
   -73.01943644,   -73.31413937
   -70.55732690,   -70.82862109
   -69.12693670,   -69.42229930
   -69.64703499,   -69.92187653
   -67.57940465,   -67.82314985
   -56.08047972,   -56.24853523
   -49.32730024,   -49.44552120
                                                  

       SCF,CCSD
   -77.84789772,   -78.32695789
   -77.78100051,   -78.25940613
   -77.76555957,   -78.31253350
   -77.63510191,   -78.04450465
   -77.42291310,   -77.81893433
   -77.05639717,   -77.42896473
   -76.04928695,   -76.39520710
   -74.61318756,   -74.92977987
   -72.68082002,   -72.97186767
   -70.22248479,   -70.49030809
   -68.79954791,   -69.09188233
   -69.30041695,   -69.57035415
   -67.25306860,   -67.49335401
   -55.77361417,   -55.93945876
   -49.04150350,   -49.15772848
                                                  
