                                                  

       SCF,CCSD
   -77.76636060,   -78.24932216
   -77.70048808,   -78.18315156
   -77.68492782,   -78.23552096
   -77.55387042,   -77.96765863
   -77.34133691,   -77.74167954
   -76.97641257,   -77.35348959
   -75.96849828,   -76.31890234
   -74.53108957,   -74.85195818
   -72.59674502,   -72.89177614
   -70.13557027,   -70.40700556
   -68.71972373,   -69.01773982
   -69.20397694,   -69.47695728
   -67.16225464,   -67.40553861
   -55.68923021,   -55.85711234
   -48.96455737,   -49.08186794
                                                  
