                                                  

       SCF,CCSD
   -78.18819003,   -78.67385466
   -78.11879651,   -78.60374495
   -78.10372864,   -78.65823210
   -77.97418779,   -78.38943061
   -77.76168379,   -78.16354663
   -77.39250234,   -77.77020062
   -76.38757724,   -76.73796734
   -74.95254659,   -75.27313213
   -73.01943644,   -73.31413937
   -70.55732690,   -70.82862109
   -69.12693670,   -69.42229930
   -69.64703499,   -69.92187653
   -67.57940465,   -67.82314985
   -56.08047972,   -56.24853523
   -49.32730024,   -49.44552120
                                                  
