                                                  

       SCF,CCSD
   -78.40020153,   -78.89766513
   -78.32916449,   -78.82668609
   -78.31416411,   -78.88126546
   -78.18644983,   -78.61344666
   -77.97545967,   -78.38918540
   -77.60586708,   -77.99545046
   -76.60332268,   -76.96470175
   -75.17000168,   -75.50021541
   -73.23747360,   -73.54017286
   -70.77315988,   -71.05186184
   -69.37881284,   -69.68385353
   -69.86356047,   -70.14218476
   -67.79383398,   -68.04121847
   -56.24235129,   -56.41314230
   -49.46161779,   -49.58109830
                                                  
