                                                  

       SCF,CCSD
   -77.82764221,   -78.31787943
   -77.76008751,   -78.25021811
   -77.74476887,   -78.30345613
   -77.61512774,   -78.03556211
   -77.40557097,   -77.81278331
   -77.03794542,   -77.42137004
   -76.03380804,   -76.38980025
   -74.60068743,   -74.92633640
   -72.67094369,   -72.96993896
   -70.21436416,   -70.48897063
   -68.81664075,   -69.11913058
   -69.30062221,   -69.57659321
   -67.24525064,   -67.49081731
   -55.80348347,   -55.97298563
   -49.08431671,   -49.20282960
                                                  
