                                                  

       SCF,CCSD
   -77.52541813,   -78.01598701
   -77.45933108,   -77.94999046
   -77.44400422,   -78.00253175
   -77.31347310,   -77.73480707
   -77.10418424,   -77.51228056
   -76.73859517,   -77.12298931
   -75.73578108,   -76.09295647
   -74.30456920,   -74.63159562
   -72.37725594,   -72.67783443
   -69.92337907,   -70.19979276
   -68.52999161,   -68.83615988
   -69.00406228,   -69.28215959
   -66.95684600,   -67.20437451
   -55.57622337,   -55.74685445
   -48.89371975,   -49.01280682
                                                  
