r,ae,UC,crenbl,lanl2,mdfstu,sbkjc,mwbstu
1.3,0.02851731,0.03316811,0.03140765,0.03258565,0.03167997,0.0342665,0.03219292
1.4,-0.00652932,-0.00399602,-0.00359746,-0.00239077,-0.003784,-0.0016669,-0.00379044
1.5,-0.02514254,-0.02358138,-0.02209779,-0.02095838,-0.02271779,-0.02098935,-0.02313696
1.6,-0.03271494,-0.03170099,-0.02956508,-0.02852507,-0.03056766,-0.02914581,-0.03131295
1.7,-0.03295152,-0.03230013,-0.02973685,-0.02879597,-0.03106189,-0.02987748,-0.03206794
1.8,-0.02843522,-0.02804483,-0.02518799,-0.02433369,-0.02678111,-0.02577583,-0.02799522
1.9,-0.02098231,-0.02077694,-0.01771459,-0.01692765,-0.019529,-0.01865337,-0.02090971
2.0,-0.01186851,-0.01178634,-0.00857486,-0.00783772,-0.01057562,-0.00978702,-0.01208998
2.1,-0.00199041,-0.00198408,0.00133774,0.00204468,-0.00082122,-8.05446983e-05,-0.00244566
2.2,0.0080195,0.00798354,0.01139618,0.01208836,0.0091091,0.00981975,0.00740317
2.3,0.01772456,0.01765078,0.02114614,0.02183831,0.01874932,0.01947661,0.01698909
2.4,0.02681859,0.02668364,0.03027237,0.03098356,0.02781555,0.02852162,0.02603369
2.5,0.03515871,0.03488163,0.03856837,0.03926959,0.03610941,0.03681983,0.03432124
2.6,0.04261755,0.04213816,0.04592056,0.04661742,0.04347843,0.04422671,0.04167326
