r,ae,UC,crenbl,lanl2,mdfstu,sbkjc,mwbstu,ECP2,ECP14,ECP15
1.3,0.18767155,0.24557526,0.17248359,0.16563873,0.17898377,0.18722245,0.18911961,0.1877212,0.18137502,0.18960329
1.4,0.00231155,0.05142981,-0.00762678,-0.01028288,-0.00176286,0.00372563,0.00526217,0.00390438,0.00047956,0.00605463
1.5,-0.10235337,-0.08248596,-0.10824365,-0.10900248,-0.10389745,-0.1004138,-0.09923392,-0.10015608,-0.10205052,-0.09823091
1.6,-0.15447284,-0.15067493,-0.15737374,-0.15735954,-0.15463913,-0.15252199,-0.15173129,-0.15209187,-0.15323249,-0.15055371
1.7,-0.1730613,-0.17178406,-0.1738744,-0.17358819,-0.17251034,-0.17128455,-0.17088218,-0.17070088,-0.17150619,-0.16956557
1.8,-0.17094766,-0.1705289,-0.17040763,-0.17005506,-0.17009938,-0.16944177,-0.1693898,-0.16875063,-0.16943835,-0.16797655
1.9,-0.1566624,-0.15678233,-0.1553269,-0.15499197,-0.15579382,-0.15549506,-0.15573187,-0.1547369,-0.15541281,-0.15426218
2.0,-0.13575488,-0.13629156,-0.13402345,-0.13374323,-0.13504358,-0.13497898,-0.13542587,-0.13416781,-0.13487663,-0.13393
2.1,-0.11186281,-0.11273902,-0.11001826,-0.10980001,-0.11142418,-0.11150713,-0.11210267,-0.11068862,-0.11144729,-0.11064601
2.2,-0.08780581,-0.08898206,-0.08605951,-0.08587998,-0.08770509,-0.08787163,-0.08857395,-0.08711508,-0.08792132,-0.08724335
2.3,-0.06543966,-0.06692029,-0.06390051,-0.06374802,-0.06569451,-0.06591616,-0.06667663,-0.06522538,-0.06606903,-0.06548745
2.4,-0.0451492,-0.04692247,-0.0438415,-0.04372823,-0.04574558,-0.04603471,-0.04680419,-0.04535599,-0.04623335,-0.04571483
2.5,-0.02677463,-0.02876979,-0.0256507,-0.02560194,-0.0276576,-0.02802404,-0.02875891,-0.02729766,-0.0282165,-0.0277333
2.6,-0.0101898,-0.01229087,-0.00916484,-0.00919394,-0.01126755,-0.01170979,-0.00371528,-0.01091916,-0.01187078,-0.01141989
