                                                  

         SCF,CCSD
   -4781.270389,   -4782.723260
   -4781.159169,   -4782.591375
   -4781.213708,   -4782.704990
   -4781.265124,   -4782.764035
   -4781.037768,   -4782.449004
   -4780.988356,   -4782.378493
   -4780.442975,   -4781.791538
   -4779.367299,   -4780.662938
   -4778.828474,   -4780.097356
   -4777.802993,   -4779.041183
   -4775.469363,   -4776.683108
   -4772.557221,   -4773.739937
   -4768.991701,   -4770.146357
   -4764.741493,   -4765.870223
   -4759.825180,   -4760.920176
   -4734.540074,   -4735.482022
                                                  
