                                                  

        SCF,CCSD
   -109.37434892,   -110.03538648
   -109.26267715,   -109.90352245
   -109.31780203,   -110.01628672
   -109.36895166,   -110.07594183
   -109.14183821,   -109.76138102
   -109.09265834,   -109.69225472
   -108.54731841,   -109.10548903
   -107.47228672,   -107.97874357
   -106.93457635,   -107.41438323
   -105.91153906,   -106.36087993
   -103.57213305,   -103.99906682
   -100.65665364,   -101.05351432
    -97.08878142,    -97.45814999
    -92.83836378,    -93.18193949
    -87.92896550,    -88.23744558
    -62.64231710,    -62.79980953
                                                  
