                                                  

         SCF,CCSD
   -4781.270389,   -4781.905747
   -4781.159169,   -4781.774268
   -4781.213708,   -4781.888284
   -4781.265124,   -4781.946319
   -4781.037768,   -4781.632047
   -4780.988356,   -4781.560427
   -4780.442975,   -4780.974152
   -4779.367299,   -4779.844948
   -4778.828474,   -4779.278375
   -4777.802993,   -4778.222788
   -4775.469363,   -4775.863503
   -4772.557221,   -4772.919520
   -4768.991701,   -4769.325248
   -4764.741493,   -4765.048614
   -4759.825180,   -4760.098857
   -4734.540074,   -4734.676800
                                                  
