                                                  

        SCF,CCSD
   -109.31678696,   -109.98460230
   -109.20452913,   -109.85205797
   -109.26031424,   -109.96554677
   -109.31139683,   -110.02521678
   -109.08364085,   -109.70978465
   -109.03465027,   -109.64084797
   -108.48786031,   -109.05230483
   -107.41122234,   -107.92348661
   -106.87560634,   -107.36150714
   -105.84847977,   -106.30315726
   -103.50876956,   -103.94035471
   -100.59314656,   -100.99404994
    -97.02541500,    -97.39824317
    -92.77517996,    -93.12168874
    -87.86529381,    -88.17635465
    -62.67271775,    -62.83061041
                                                  
