                                                  

        SCF,CCSD
   -109.38124625,   -110.04904318
   -109.26961775,   -109.91730302
   -109.32351341,   -110.02919774
   -109.37588136,   -110.08973568
   -109.14858567,   -109.77475761
   -109.10076288,   -109.70667136
   -108.55522634,   -109.11955118
   -107.48131738,   -107.99347460
   -106.94794007,   -107.43357405
   -105.92143834,   -106.37608300
   -103.58297287,   -104.01488633
   -100.66775308,   -101.06927723
    -97.09917760,    -97.47292928
    -92.84672362,    -93.19445742
    -87.93353218,    -88.24590687
    -62.70119335,    -62.86040648
                                                  
