                                                  

        SCF,CCSD
   -109.73731471,   -110.40134488
   -109.62558931,   -110.26950134
   -109.68023848,   -110.38211210
   -109.73190670,   -110.44176066
   -109.50474140,   -110.12739243
   -109.45516724,   -110.05759168
   -108.90935446,   -109.47045417
   -107.83178577,   -108.34102708
   -107.29250224,   -107.77515757
   -106.26669158,   -106.71870518
   -103.92041976,   -104.34991492
   -100.99588731,   -101.39519014
    -97.41648222,    -97.78817612
    -93.15186305,    -93.49766093
    -88.22550542,    -88.53606659
    -62.89527860,    -63.05320719
                                                  
