                                                  

        SCF,CCSD
   -109.27881689,   -109.94692643
   -109.16831501,   -109.81642958
   -109.22350369,   -109.92941231
   -109.27328784,   -109.98690388
   -109.04763119,   -109.67452124
   -108.99651940,   -109.60293792
   -108.45332851,   -109.01841895
   -107.37872568,   -107.89155590
   -106.84239240,   -107.32856178
   -105.81833898,   -106.27353377
   -103.48156888,   -103.91357440
   -100.56881365,   -100.97004610
    -97.00375423,    -97.37680926
    -92.75580249,    -93.10242739
    -87.84754547,    -88.15860720
    -62.66466171,    -62.82251294
                                                  
