r,ae,UC,crenbl,lanl2,mdfstu,mwbstu,sbkjc,ccECP
1.1,0.01392153,0.014353999990000001,0.01407442,0.01538693,0.01572564,0.01396971,0.01659424,0.01482933
1.2,-0.04929567,-0.048867,-0.04888901,-0.04778611,-0.04764002,-0.04868391,-0.04684829,-0.04838824
1.3,-0.08483669,-0.084463,-0.08429146,-0.08337223,-0.08337178,-0.08394525,-0.08272064,-0.0839876
1.4,-0.10275811,-0.102461,-0.10214448,-0.10140222,-0.10148545,-0.10175133,-0.10100214,-0.1019899
1.5,-0.10946614,-0.109242,-0.1088149,-0.10824336,-0.10835859,-0.10843058,-0.10804703,-0.1087743
1.6,-0.10915994,-0.10899500000000001,-0.10848196,-0.10806963,-0.1081877,-0.10814407,-0.10803457,-0.10852883
1.7,-0.10457885,-0.104468,-0.10389003,-0.10362221,-0.10372276,-0.10361905,-0.10371602,-0.10400456
1.8,-0.09748481,-0.097434,-0.09680349,-0.09666571,-0.09673525,-0.09660586,-0.09686023,-0.09696953
1.9,-0.08900856,-0.08902399999,-0.08835219,-0.0883293,-0.08836039,-0.08822789,-0.08859899,-0.08856067
2.0,-0.07989674,-0.079975,-0.07927463,-0.07934947,-0.07934054,-0.0792171,-0.07967292,-0.07951565
2.1,-0.07064229,-0.070781,-0.07005909,-0.07021622,-0.07016759,-0.07006307,-0.07057504,-0.07032429
