                                                  

       SCF,CCSD
   -56.32392976,   -56.73519540
   -56.31578741,   -56.69804991
   -56.26691610,   -56.69189893
   -56.05450885,   -56.40382702
   -56.11312864,   -56.46209198
   -55.58987214,   -55.90679106
   -54.73749906,   -55.02777313
   -53.45106930,   -53.71815015
   -52.52266983,   -52.78776906
   -53.25266610,   -53.52777590
   -52.94242625,   -53.20730490
   -51.72840176,   -51.96924617
   -43.71017033,   -43.87529901
   -38.79397710,   -38.90959388
   -32.97401730,   -33.06955001
   -19.36312458,   -19.41112882
                                                  
