                                                  

       SCF,CCSD
   -57.03425865,   -57.46339875
   -57.05934370,   -57.44252900
   -57.01011438,   -57.43688975
   -56.79678195,   -57.14708937
   -56.85785988,   -57.20710521
   -56.33343570,   -56.65087423
   -55.48291211,   -55.77318407
   -54.19841919,   -54.46485522
   -53.26645943,   -53.52813566
   -54.00337516,   -54.27698620
   -53.70445360,   -53.96824539
   -52.47683910,   -52.71644039
                                                  
