                                                  

       SCF,CCSD
   -57.11169635,   -57.54698452
   -57.13352857,   -57.52358622
   -57.08314765,   -57.51729465
   -56.86975267,   -57.22699785
   -56.93470576,   -57.29013239
   -56.40934179,   -56.73295857
   -55.56251156,   -55.85792746
   -54.28202420,   -54.55233876
   -53.36630233,   -53.63286874
   -54.09297038,   -54.36897704
   -53.79132339,   -54.05734328
   -52.56437051,   -52.80611838
   -44.36724953,   -44.53373081
   -39.34895873,   -39.46553545
   -33.42160791,   -33.51805712
   -26.83166660,   -26.90543563
   -19.56373680,   -19.61283959
                                                  
