                                                  

       SCF,CCSD
   -56.70069948,   -57.13019319
   -56.72872758,   -57.11241299
   -56.68064339,   -57.10728239
   -56.46847875,   -56.81988159
   -56.52603981,   -56.87588218
   -56.00501499,   -56.32353788
   -55.15521236,   -55.44632977
   -53.87318134,   -54.14003229
   -52.95450080,   -53.21789194
   -53.67308124,   -53.94569585
   -53.37588497,   -53.63867538
   -52.15712945,   -52.39639505
   -44.03812794,   -44.20286652
   -39.06475166,   -39.17990863
   -33.18066378,   -33.27643508
   -19.43089510,   -19.48047605
                                                  
