r,ae,UC,crenbl,lanl2,mdfstu,sbkjc,mwbstu,ECP23,ECP28,ECP29,ECP30
1.1,1.0010867199998756,1.0288430199999965,0.9500072999999958,0.9127675299999964,0.9403999199999973,0.9662768499999999,0.9795224000000005,0.9519773199999975,0.9563912899999991,0.9553991800000006,
1.2,0.5301355200008402,0.5488229999999987,0.4982585399999948,0.47529457999999636,0.49301891999999725,0.5144176300000041,0.5228161799999995,0.5011071599999966,0.505285899999997,0.5042868399999989,0.5001284900000016
1.3,0.2392748100010067,0.2521665800000008,0.21877536999999592,0.20539331999999888,0.21651500000000112,0.23311025000000285,0.23868758999999784,0.22272932999999995,0.22682960000000207,0.22579249000000345,0.22208353999999986
1.4,0.06180182000025525,0.07052568000000292,0.04886452999999591,0.04154461999999626,0.047944889999996576,0.0604893699999991,0.0640957900000032,0.053320069999998054,0.05706454999999977,0.05616269000000074,0.052803300000000775
1.5,-0.041880639999362756,-0.0364521699999969,-0.04958701000000332,-0.053241520000000264,-0.05031824999999657,-0.04076053000000002,-0.03876606000000038,-0.04523188000000289,-0.042098449999997456,-0.04272152000000062,-0.045749250000000075
1.6,-0.09724486999948567,-0.09433331000000322,-0.1013614300000043,-0.10284548000000626,-0.1024513500000026,-0.09494328999999624,-0.09432809999999847,-0.09742947000000157,-0.09500512000000327,-0.09529460000000256,-0.09800534000000027
1.7,-0.12129785000070115,-0.12013610000000341,-0.1230532800000006,-0.12325518000000102,-0.12463122999999854,-0.11849845999999786,-0.11902838999999688,-0.11963595999999654,-0.11789290000000108,-0.11787043000000352,-0.12028113000000218
1.8,-0.12559687000066333,-0.12557993000000067,-0.12591248000000377,-0.1253780500000019,-0.1279069899999996,-0.12273487999999588,-0.1241464499999978,-0.12299872999999906,-0.12184681000000097,-0.12156599000000057,-0.12369736000000131
1.9,-0.11811160000070231,-0.11881173999999817,-0.11765238000000267,-0.11673943000000264,-0.11990758000000312,-0.11548946999999998,-0.11749598000000105,-0.11521239999999722,-0.11453514000000098,-0.11407183000000032,-0.11593222999999853
2.0,-0.10447050000038871,-0.10555264999999991,-0.10366233999999963,-0.1026439000000039,-0.10600440999999705,-0.10228501999999651,-0.1045739999999995,-0.10168842000000211,-0.1013551899999996,-0.10080001000000038,-0.10238454000000274
2.1,-0.08867398999973375,-0.08984775999999783,-0.08777174000000088,-0.08685187000000383,-0.09002085000000193,-0.08703818000000041,-0.08930096000000276,-0.086243979999999,-0.08611176000000142,-0.08555596000000065,-0.08687119999999737
2.2,-0.07271381999998994,-0.07387164000000013,-0.07180194000000029,-0.07101602000000184,-0.07397396000000356,-0.0715536999999955,-0.07373250999999925,-0.070589769999998,-0.07052277999999745,-0.07000357999999807,-0.07115576999999718
2.3,-0.05658756000048015,-0.0579498600000008,-0.05588913000000417,-0.055226950000005104,-0.05792009999999692,-0.05597118000000023,-0.058015820000001384,-0.05497525999999908,-0.05501750999999899,-0.054525159999997186,-0.0554817700000001
2.4,-0.04265135999958147,-0.04439502000000317,-0.04233273000000537,-0.041743360000005225,-0.04418154999999757,-0.04262927999999988,-0.044493529999996895,-0.04164008000000052,-0.0417862700000029,-0.0413083799999967,-0.042099659999998096
2.5,-0.030400820000068052,-0.032524799999997356,-0.030332500000000095,-0.029756779999999594,-0.032173999999997704,-0.030773159999995414,-0.03263489999999791,-0.029759230000003356,-0.029978599999999744,-0.02948453999999856,-0.030212810000001866
2.6,-0.018920049998996546,-0.021364910000002624,-0.018993240000000355,-0.018400580000005107,-0.020901639999998167,-0.019545039999997016,-0.021486670000001595,-0.018489999999999895,-0.0187811300000007,-0.018252070000002618,-0.018958009999998637
