                                                  

        SCF,CCSD
   -126.8945931,   -128.0353007
   -127.0248578,   -128.0084855
   -127.0204841,   -127.9678987
   -126.9677054,   -127.9619969
   -126.7210035,   -127.8212064
   -126.8601235,   -127.7930762
   -126.8203216,   -127.7946208
   -126.3247636,   -127.3944576
   -126.4350837,   -127.3376868
   -126.3959823,   -127.3182870
   -125.7027081,   -126.5918695
   -125.5744510,   -126.3181637
   -125.4290913,   -126.1952202
   -124.3968160,   -125.1270804
   -114.9624866,   -115.4803684
                                                  
