                                                  

        SCF,CCSD
   -126.0855279,   -127.1112684
   -126.2506816,   -127.1313257
   -126.2373861,   -127.0840313
   -126.1765359,   -127.0670610
   -125.9119339,   -126.8973191
   -126.0733713,   -126.9047132
   -126.0292213,   -126.8989890
   -125.5174340,   -126.4724868
   -125.6510572,   -126.4531335
   -125.6055995,   -126.4241274
   -124.9164279,   -125.7028870
   -124.8010755,   -125.4604011
   -124.6474570,   -125.3254167
   -123.6233631,   -124.2670378
   -114.1608455,   -114.6051413
                                                  
