                                                  

     Z,SCF,CCSD
   1.4,   -128.3929279,   -129.5065528
   1.5,   -128.5239051,   -129.6236059
   1.6,   -128.6181863,   -129.7063225
   1.7,   -128.6836152,   -129.7622408
   1.8,   -128.7262932,   -129.7972051
   1.9,   -128.7511249,   -129.8158954
   2.0,   -128.7620781,   -129.8220719
   2.1,   -128.7623527,   -129.8187687
   2.2,   -128.7545114,   -129.8084225
   2.3,   -128.7405890,   -129.7930120
   2.4,   -128.7221894,   -129.7740907
                                                  
