                                                  

     Z,SCF,CCSD,A_SCF,A_CCSD,B_SCF,B_CCSD
   1.4,   -127.6159065,   -128.6238661,   -126.2506816,   -127.1313257,   -1.49950863,   -1.49950863
   1.5,   -127.7442108,   -128.7389958,    0.0,     0.0,    0.00000000,    0.00000000
   1.6,   -127.8365724,   -128.8202486,    0.0,     0.0,    0.00000000,    0.00000000
   1.7,   -127.9006486,   -128.8751088,    0.0,     0.0,    0.00000000,    0.00000000
   1.8,   -127.9423763,   -128.9093282,    0.0,     0.0,    0.00000000,    0.00000000
   1.9,   -127.9665379,   -128.9275006,    0.0,     0.0,    0.00000000,    0.00000000
   2.0,   -127.9770151,   -128.9333154,    0.0,     0.0,    0.00000000,    0.00000000
   2.1,   -127.9769476,   -128.9297558,    0.0,     0.0,    0.00000000,    0.00000000
   2.2,   -127.9688564,   -128.9192278,    0.0,     0.0,    0.00000000,    0.00000000
   2.3,   -127.9547478,   -128.9036770,    0.0,     0.0,    0.00000000,    0.00000000
   2.4,   -127.9362058,   -128.8846450,    0.0,     0.0,    0.00000000,    0.00000000
                                                  
