GS_5s2_5p6_6s2_4f9.d
EX_5s2_5p6_6s2_4f8_5d1.d
EX_5s2_5p6_6s1_4f8_5d2.d
EX_5s2_5p6_6s2_4f8_6p1.d
IP1_5s2_5p6_6s1_4f9.d
IP1_5s2_5p6_6s1_4f8_5d1.d
IP1_5s2_5p6_6s2_4f8.d
IP2_5s2_5p6_4f9.d
IP2_5s2_5p6_4f8_5d1.d
IP2_5s2_5p6_6s1_4f8.d
IP3_5s2_5p6_4f8.d
IP3_5s2_5p6_4f7_5d1.d
IP3_5s2_5p6_6s1_4f7.d
IP4_5s2_5p6_4f7.d
IP7_5s2_5p3_4f7.d
               ae            ecp         wei          res
0  -125.137194410 -126.198667000 0.001000000  0.028884140
1    -2.302295000   -2.301131000 1.000000000 -0.031674053
2    -0.202014000   -0.200157000 1.000000000 -0.050531544
3    -1.274164000   -1.275040000 1.000000000  0.023837174
4    -0.215955000   -0.235788000 0.150000000  0.080952513
5    -0.811629000   -0.800677000 0.250000000 -0.074504775
6    -3.379765000   -3.382709000 1.000000000  0.080110320
7    -2.308777000   -2.308549000 2.000000000 -0.012408392
8    -1.180480000   -1.186806000 0.100000000  0.017213923
9    -2.102453000   -2.148033000 0.100000000  0.124029497
10   -0.137292000   -0.137487000 2.000000000  0.010612441
11   -0.136792000   -0.138577000 2.000000000  0.097144648
12   -0.081274000   -0.082490000 2.000000000  0.066178091
13    0.174409000    0.173626000 2.000000000  0.042613031
14    0.042098000    0.040488000 2.000000000  0.087620663
15    0.067109000    0.065897000 2.000000000  0.065960400
16    0.567795000    0.567701000 1.000000000  0.002557870
17    0.465824000    0.464549000 1.000000000  0.034694517
18    0.492273000    0.489575000 1.000000000  0.073416319
19    1.181092000    1.178665000 1.000000000  0.066042034
20    1.260296000    1.286753000 0.100000000 -0.071993164
21    1.418212000    1.437398000 0.100000000 -0.052207765
22    2.442408000    2.462449000 0.050000000 -0.027267169
23   11.971204000   11.925282000 0.010000000  0.012496013
24    0.604673506    0.610496305 0.500000000 -0.079223210
25    0.603022486    0.602572872 2.000000000  0.024469208
26    0.663916332    0.683607302 0.150000000 -0.080372789
27    0.697550136    0.710992654 0.250000000 -0.091447387
28    0.613114731    0.595761105 0.050000000  0.023610812
29    0.662978456    0.654174223 0.050000000  0.011978769
SOQ: 0.10925650038016775
