    AE_SCF         AE_CCSD           ECP_SCF        ECP_CCSD         SA_ECP_SCF
   -11704.81060   -11708.10561       -125.8675065   -126.8973554    -125.870867
   -11704.92990   -11708.12680       -126.0314297   -126.9159050    -126.005519
   -11704.90597   -11708.07767       -126.0189508   -126.8692702    -126.007514
   -11704.86637   -11708.06155       -125.9560699   -126.8509096    -125.949755
   -11704.63557   -11707.89087       -125.6939378   -126.6834411    -125.697284
   -11704.74996   -11707.89881       -125.8542475   -126.6894594    -125.827673
   -11704.71974   -11707.89338       -125.8085852   -126.6825691    -125.801202
   -11704.24174   -11707.46676       -125.2996460   -126.2588894    -125.303456
   -11704.32750   -11707.44761       -125.4324671   -126.2384565    -125.404144
   -11704.29310   -11707.41696       -125.3851913   -126.2078890    -125.377778
   -11703.60489   -11706.69600       -124.6966422   -125.4873240    -124.689354
   -11703.47214   -11706.48354       -124.5833831   -125.2462267    -124.581512
   -11703.32329   -11706.34144       -124.4270112   -125.1087706    -124.428240
   -11702.30144   -11705.28394       -123.4042504   -124.0517801    -123.404554
   -11692.76700   -11695.55424       -113.9505197   -114.3972609    -113.950939

